,State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,Grand Total
0,Andaman and Nicobar Island,1,30,81,0,40,0,0,0,7,159
1,Arunachal Pradesh,14,0,5,0,0,0,0,0,1,20
2,Assam,721,47041,161,7,15,0,0,0,2,47947
3,Bihar,5003,59079,114,11,26,0,0,0,8,64241
4,Chandigarh,298,1410,182,0,40,0,0,0,1,1931
5,Chhattisgarh,6424,5341,117,1077,1,0,0,368,100,13428
6,Delhi,14730,112831,3051,49,39,0,0,0,1602,132302
7,Goa,1314,28,289,13,36,2,0,0,4,1686
8,Gujarat,13662,1869,1309,28,278,344,0,26,77,17593
9,Haryana,7777,18595,186,122,8,2,0,0,90,26780
10,Himachal Pradesh,368,167,37,7,86,0,0,0,46,711
11,Jammu and Kashmir,1417,43,10,6,43,0,0,0,8,1527
12,Jharkhand,2961,8986,139,24,4,0,0,0,57,12171
13,Karnataka,56737,16478,7212,153,44,1,1,0,1420,82046
14,Kerala,10299,2115,2524,43,23,0,1,0,17,15022
15,Ladakh,12,0,5484,0,0,0,0,0,0,5496
16,Maharashtra,51149,6155,2,30,851,26,1,0,601,58815
17,Manipur,86,443,9,1,0,0,0,0,1,540
18,Meghalaya,16,6,3,3,0,0,0,0,0,28
19,Mizoram,9,1,4,2,1,0,0,0,3,20
20,Nagaland,44,0,121,3,0,1,0,1,1,171
21,Odisha,10329,1808,75,21,0,25,0,1,23,12282
22,Puducherry,1429,32,124,9,20,0,0,0,0,1614
23,Punjab,6408,2878,798,35,2,0,0,0,21,10142
24,Rajasthan,23446,29631,12,25,1,0,1,1,24,53141
25,Sikkim,1,0,2414,1,0,0,0,0,9,2425
26,Tamil Nadu,44302,4470,13,1281,37,0,0,0,193,50296
27,Tripura,67,7510,14,1,0,0,0,0,1,7593
28,Dadra and Nagar Haveli and Daman and Diu,69,36,153,2,10,7,0,0,0,277
29,Uttar Pradesh,18295,257159,368,53,327,2,0,0,13,276217
30,Uttarakhand,2614,22096,709,1,10,0,0,0,21,25451
31,West Bengal,2540,40948,615,28,97,0,2,0,61,44291
